0x0000	0x00-1
0x03CA	0x57CB
0x03CB	0x57C3
0x03CC	0x57DF
0x03CD	0x5805
0x03CE	0x580A
0x03CF	0x5806
0x03D0	0x57E0
0x03D1	0x57E4
0x03D2	0x57FA
0x03D3	0x5802
0x03D4	0x5835
0x03D5	0x57F7
0x03D6	0x57F9
0x03D7	0x582F
0x03D8	0x582A
0x03D9	0x5834
0x03DA	0x5824
0x03DB	0x5830
0x03DC	0x5831
0x03DD	0x5821
0x03DE	0x585E
0x03DF	0x5851
0x03E0	0x5858
0x03E1	0x5857
0x03E2	0x585A
0x03E3	0x5854
0x03E4	0x586B
0x03E5	0x584C
0x03E6	0x586D
0x03E7	0x584A
0x03E8	0x5862
0x03E9	0x5875
0x03EA	0x587E
0x03EB	0x5883
0x03EC	0x5893
0x03ED	0x588A
0x03EE	0x5879
0x03EF	0x5885
0x03F0	0x5880
0x03F1	0x589F
0x03F2	0x589E
0x03F3	0x58B3
0x03F4	0x589C
0x03F5	0x58AE
0x03F6	0x58C1
0x03F7	0x58BE
0x03F8	0x58C7
0x03F9	0x58C5
0x03FA	0x58D5
0x03FB	0x58D3
0x03FC	0x58D1
0x03FD	0x58D9
0x03FE	0x58D8
0x03FF	0x58DE
0x0400	0x58DF
0x0401	0x58E2
0x0402	0x58E4
0x0403	0x58E9
0x0404	0x58EB
0x0405	0x58EC
0x0406	0x58EF
0x0407	0x58F9
0x0408	0x58FA
0x0409	0x58FD
0x040A	0x590F
0x040B	0x5914
0x040C	0x5915
0x040D	0x5916
0x040E	0x5919
0x040F	0x591A
0x0410	0x591C
0x0411	0x5920
0x0412	0x5925
0x0413	0x5922
0x0414	0x5924
0x0415	0x5927
0x0416	0x5929
0x0417	0x592B
0x0418	0x592A
0x0419	0x592D
0x041A	0x592E
0x041B	0x5931
0x041C	0x5937
0x041D	0x5938
0x041E	0x593E
0x041F	0x5949
0x0420	0x5947
0x0421	0x5948
0x0422	0x5944
0x0423	0x5954
0x0424	0x5955
0x0425	0x5951
0x0426	0x594F
0x0427	0x594E
0x0428	0x5950
0x0429	0x5957
0x042A	0x5958
0x042B	0x595A
0x042C	0x5962
0x042D	0x5960
0x042E	0x5967
0x042F	0x596A
0x0430	0x5969
0x0431	0x596E
0x0432	0x5973
0x0433	0x5974
0x0434	0x5976
0x0435	0x5984
0x0436	0x5978
0x0437	0x5983
0x0438	0x597D
0x0439	0x5979
0x043A	0x5982
0x043B	0x5981
0x043C	0x599D
0x043D	0x5992
0x043E	0x59A8
0x043F	0x599E
0x0440	0x59A3
0x0441	0x5999
0x0442	0x5996
0x0443	0x598D
0x0444	0x59A4
0x0445	0x5993
0x0446	0x598A
0x0447	0x59A5
0x0448	0x59BE
0x0449	0x59BB
0x044A	0x59D4
0x044B	0x59B9
0x044C	0x59AE
0x044D	0x59D1
0x044E	0x59C6
0x044F	0x59D0
0x0450	0x59CD
0x0451	0x59CB
0x0452	0x59D3
0x0453	0x59CA
0x0454	0x59AF
0x0455	0x59B3
0x0456	0x59D2
0x0457	0x59DC
0x0458	0x59D8
0x0459	0x59FF
0x045A	0x59E3
0x045B	0x59E8
0x045C	0x5A03
0x045D	0x59E5
0x045E	0x59EA
0x045F	0x59DA
0x0460	0x59E6
0x0461	0x5A01
